subject,source,discourse_id,entity_amount,sentence_amount,positive,negative,share_rate
bn,cnn,cnn_0052,23,4,4,16,0.666667
bn,cnn,cnn_0057,17,3,1,4,0.500000
bn,cnn,cnn_0064,35,5,19,1,1.000000
bn,cnn,cnn_0092,26,3,2,3,1.000000
bn,cnn,cnn_0102,27,3,1,4,0.500000
bn,cnn,cnn_0122,24,3,2,3,1.000000
bn,cnn,cnn_0177,20,5,12,8,0.250000
bn,cnn,cnn_0193,25,5,9,11,0.750000
bn,cnn,cnn_0214,21,5,11,9,0.500000
bn,cnn,cnn_0262,24,3,2,3,1.000000
bn,cnn,cnn_0421,18,5,16,4,0.500000
bn,nbc,nbc_0017,33,3,2,3,1.000000
bn,pri,pri_0008,25,4,9,11,1.000000
bn,voa,voa_0013,36,4,15,5,0.666667
bn,voa,voa_0017,14,2,0,1,1.000000
bn,voa,voa_0034,28,3,3,2,0.500000
bn,voa,voa_0043,14,1,-1,1,0.000000
bn,voa,voa_0046,37,5,9,11,0.250000
bn,voa,voa_0058,42,4,11,9,0.666667
bn,voa,voa_0087,33,4,8,12,0.333333
bn,voa,voa_0104,39,4,9,11,1.000000
bn,voa,voa_0112,31,3,2,3,1.000000
bn,voa,voa_0125,14,2,0,1,1.000000
bn,voa,voa_0127,30,4,14,6,0.666667
bn,voa,voa_0162,13,2,0,1,1.000000
bn,voa,voa_0182,16,2,0,1,1.000000
bn,voa,voa_0184,27,4,9,11,1.000000
bn,voa,voa_0203,12,2,0,1,1.000000
bn,voa,voa_0208,33,3,4,1,1.000000
bn,voa,voa_0258,9,2,0,1,1.000000
bn,cnn,cnn_0005,71,12,10,10,0.636364
bn,cnn,cnn_0067,66,15,17,3,0.500000
bn,cnn,cnn_0111,60,12,5,15,0.545455
bn,cnn,cnn_0145,64,13,13,7,0.333333
bn,cnn,cnn_0156,62,11,18,2,0.500000
bn,cnn,cnn_0246,74,11,17,3,0.400000
bn,cnn,cnn_0263,62,12,19,1,0.727273
bn,cnn,cnn_0275,47,14,19,1,0.384615
bn,cnn,cnn_0356,47,12,17,3,0.363636
bn,cnn,cnn_0361,57,11,19,1,0.700000
bn,cnn,cnn_0364,64,14,14,6,0.692308
bn,cnn,cnn_0381,76,14,15,5,0.307692
bn,cnn,cnn_0384,42,15,6,14,0.285714
bn,cnn,cnn_0417,49,12,19,1,0.636364
bn,cnn,cnn_0422,85,12,19,1,0.454545
bn,mnb,mnb_0002,43,13,15,5,0.500000
bn,mnb,mnb_0005,84,15,18,2,0.714286
bn,pri,pri_0007,66,13,18,2,0.416667
bn,pri,pri_0018,67,12,18,2,0.545455
bn,pri,pri_0025,87,13,17,3,0.750000
bn,pri,pri_0032,61,11,18,2,0.600000
bn,pri,pri_0034,67,14,19,1,0.461538
bn,pri,pri_0102,58,12,12,8,0.454545
bn,voa,voa_0024,115,15,19,1,0.642857
bn,voa,voa_0032,94,15,19,1,0.571429
bn,voa,voa_0113,89,13,18,2,0.833333
bn,voa,voa_0117,80,13,12,8,0.500000
bn,voa,voa_0122,62,11,11,9,0.500000
bn,voa,voa_0246,89,15,16,4,0.785714
bn,voa,voa_0252,58,11,14,6,0.300000
bn,abc,abc_0007,92,19,18,2,0.388889
bn,abc,abc_0016,91,19,19,1,0.500000
bn,abc,abc_0048,76,18,7,13,0.235294
bn,abc,abc_0067,68,16,18,2,0.533333
bn,cnn,cnn_0058,78,18,2,18,0.117647
bn,cnn,cnn_0096,74,16,17,3,0.266667
bn,cnn,cnn_0147,68,16,12,8,0.133333
bn,cnn,cnn_0175,80,16,19,1,0.666667
bn,cnn,cnn_0185,69,17,3,17,0.187500
bn,cnn,cnn_0231,62,17,19,1,0.437500
bn,cnn,cnn_0245,72,17,19,1,0.562500
bn,cnn,cnn_0252,61,19,17,3,0.111111
bn,cnn,cnn_0267,108,18,19,1,0.588235
bn,cnn,cnn_0337,69,18,19,1,0.588235
bn,cnn,cnn_0374,78,18,19,1,0.352941
bn,cnn,cnn_0386,82,19,18,2,0.722222
bn,mnb,mnb_0007,72,18,19,1,0.411765
bn,mnb,mnb_0016,82,16,19,1,0.666667
bn,nbc,nbc_0003,76,16,8,12,0.200000
bn,nbc,nbc_0005,98,20,18,2,0.631579
bn,nbc,nbc_0014,87,16,17,3,0.466667
bn,nbc,nbc_0015,104,18,17,3,0.411765
bn,nbc,nbc_0028,99,16,15,5,0.466667
bn,voa,voa_0014,97,17,18,2,0.687500
bn,voa,voa_0074,94,17,19,1,0.812500
bn,voa,voa_0181,117,18,18,2,0.705882
bn,voa,voa_0212,127,19,19,1,0.722222
bn,voa,voa_0231,113,19,16,4,0.444444
