subject,source,part,file,length
bc,cctv,00,cctv_0001.v4_gold_conll,235
bc,cctv,00,cctv_0002.v4_gold_conll,514
bc,cctv,00,cctv_0003.v4_gold_conll,434
bc,cctv,00,cctv_0004.v4_gold_conll,494
bc,cnn,00,cnn_0001.v4_gold_conll,706
bc,cnn,00,cnn_0002.v4_gold_conll,721
bc,cnn,00,cnn_0003.v4_gold_conll,659
bc,cnn,00,cnn_0004.v4_gold_conll,669
bc,cnn,00,cnn_0005.v4_gold_conll,507
bc,cnn,00,cnn_0006.v4_gold_conll,506
bc,cnn,00,cnn_0007.v4_gold_conll,307
bc,msnbc,00,msnbc_0001.v4_gold_conll,565
bc,msnbc,00,msnbc_0002.v4_gold_conll,761
bc,msnbc,00,msnbc_0003.v4_gold_conll,724
bc,msnbc,00,msnbc_0004.v4_gold_conll,657
bc,msnbc,00,msnbc_0005.v4_gold_conll,660
bc,msnbc,00,msnbc_0006.v4_gold_conll,799
bc,phoenix,00,phoenix_0001.v4_gold_conll,258
bc,phoenix,00,phoenix_0002.v4_gold_conll,253
bn,abc,00,abc_0001.v4_gold_conll,26
bn,abc,00,abc_0002.v4_gold_conll,24
bn,abc,00,abc_0003.v4_gold_conll,24
bn,abc,00,abc_0004.v4_gold_conll,21
bn,abc,00,abc_0005.v4_gold_conll,21
bn,abc,00,abc_0006.v4_gold_conll,3
bn,abc,00,abc_0007.v4_gold_conll,19
bn,abc,00,abc_0008.v4_gold_conll,1
bn,abc,00,abc_0011.v4_gold_conll,2
bn,abc,00,abc_0012.v4_gold_conll,1
bn,abc,00,abc_0013.v4_gold_conll,18
bn,abc,00,abc_0014.v4_gold_conll,36
bn,abc,00,abc_0015.v4_gold_conll,28
bn,abc,00,abc_0016.v4_gold_conll,19
bn,abc,00,abc_0017.v4_gold_conll,24
bn,abc,00,abc_0018.v4_gold_conll,22
bn,abc,00,abc_0021.v4_gold_conll,19
bn,abc,00,abc_0022.v4_gold_conll,12
bn,abc,00,abc_0023.v4_gold_conll,29
bn,abc,00,abc_0024.v4_gold_conll,4
bn,abc,00,abc_0025.v4_gold_conll,22
bn,abc,00,abc_0026.v4_gold_conll,16
bn,abc,00,abc_0027.v4_gold_conll,34
bn,abc,00,abc_0028.v4_gold_conll,24
bn,abc,00,abc_0031.v4_gold_conll,3
bn,abc,00,abc_0032.v4_gold_conll,3
bn,abc,00,abc_0033.v4_gold_conll,3
bn,abc,00,abc_0034.v4_gold_conll,19
bn,abc,00,abc_0035.v4_gold_conll,35
bn,abc,00,abc_0036.v4_gold_conll,4
bn,abc,00,abc_0037.v4_gold_conll,1
bn,abc,00,abc_0038.v4_gold_conll,42
bn,abc,00,abc_0041.v4_gold_conll,25
bn,abc,00,abc_0042.v4_gold_conll,22
bn,abc,00,abc_0043.v4_gold_conll,18
bn,abc,00,abc_0044.v4_gold_conll,3
bn,abc,00,abc_0045.v4_gold_conll,4
bn,abc,00,abc_0046.v4_gold_conll,3
bn,abc,00,abc_0047.v4_gold_conll,17
bn,abc,00,abc_0048.v4_gold_conll,18
bn,abc,00,abc_0051.v4_gold_conll,30
bn,abc,00,abc_0052.v4_gold_conll,26
bn,abc,00,abc_0053.v4_gold_conll,23
bn,abc,00,abc_0054.v4_gold_conll,3
bn,abc,00,abc_0055.v4_gold_conll,35
bn,abc,00,abc_0056.v4_gold_conll,33
bn,abc,00,abc_0057.v4_gold_conll,3
bn,abc,00,abc_0058.v4_gold_conll,2
bn,abc,00,abc_0061.v4_gold_conll,2
bn,abc,00,abc_0062.v4_gold_conll,18
bn,abc,00,abc_0063.v4_gold_conll,27
bn,abc,00,abc_0064.v4_gold_conll,23
bn,abc,00,abc_0065.v4_gold_conll,15
bn,abc,00,abc_0066.v4_gold_conll,23
bn,abc,00,abc_0067.v4_gold_conll,16
bn,abc,00,abc_0068.v4_gold_conll,3
bn,cnn,00,cnn_0001.v4_gold_conll,14
bn,cnn,00,cnn_0002.v4_gold_conll,7
bn,cnn,00,cnn_0003.v4_gold_conll,5
bn,cnn,00,cnn_0004.v4_gold_conll,7
bn,cnn,00,cnn_0005.v4_gold_conll,12
bn,cnn,00,cnn_0006.v4_gold_conll,4
bn,cnn,00,cnn_0007.v4_gold_conll,5
bn,cnn,00,cnn_0008.v4_gold_conll,10
bn,cnn,00,cnn_0011.v4_gold_conll,7
bn,cnn,00,cnn_0012.v4_gold_conll,5
bn,cnn,00,cnn_0013.v4_gold_conll,10
bn,cnn,00,cnn_0014.v4_gold_conll,6
bn,cnn,00,cnn_0015.v4_gold_conll,17
bn,cnn,00,cnn_0016.v4_gold_conll,7
bn,cnn,00,cnn_0017.v4_gold_conll,4
bn,cnn,00,cnn_0018.v4_gold_conll,8
bn,cnn,00,cnn_0021.v4_gold_conll,3
bn,cnn,00,cnn_0022.v4_gold_conll,6
bn,cnn,00,cnn_0023.v4_gold_conll,4
bn,cnn,00,cnn_0024.v4_gold_conll,4
bn,cnn,00,cnn_0025.v4_gold_conll,25
bn,cnn,00,cnn_0026.v4_gold_conll,7
bn,cnn,00,cnn_0027.v4_gold_conll,4
bn,cnn,00,cnn_0028.v4_gold_conll,6
bn,cnn,00,cnn_0031.v4_gold_conll,4
bn,cnn,00,cnn_0032.v4_gold_conll,6
bn,cnn,00,cnn_0033.v4_gold_conll,8
bn,cnn,00,cnn_0034.v4_gold_conll,8
bn,cnn,00,cnn_0035.v4_gold_conll,5
